config,mode,run,seed,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked
E1_amr3,enhanced,1,117,ENHANCED,20,20,0,3560,178.00,489,0.0409,1089,0,9,9
E1_amr3,enhanced,2,134,ENHANCED,20,20,0,3175,158.75,457,0.0438,1068,0,5,5
E1_amr3,enhanced,3,151,ENHANCED,20,20,0,3331,166.55,511,0.0391,1077,0,6,6
E1_amr3,enhanced,4,168,ENHANCED,20,20,0,3327,166.35,446,0.0448,1031,0,10,10
E1_amr3,enhanced,5,185,ENHANCED,20,20,0,3213,160.65,449,0.0445,1021,0,7,7
E1_amr3,enhanced,6,202,ENHANCED,20,20,0,3494,174.70,422,0.0474,984,0,6,6
E1_amr3,enhanced,7,219,ENHANCED,20,20,0,3975,198.75,464,0.0431,1055,0,9,9
E1_amr3,enhanced,8,236,ENHANCED,20,20,0,3144,157.20,412,0.0485,941,0,6,6
E1_amr3,enhanced,9,253,ENHANCED,20,20,0,3997,199.85,524,0.0382,1081,0,7,7
E1_amr3,enhanced,10,270,ENHANCED,20,20,0,3668,183.40,431,0.0464,981,0,5,5
E1_amr3,reference,1,117,REFERENCE,20,20,0,408,20.40,206,0.0971,418,0,0,0
E1_amr3,reference,2,134,REFERENCE,20,20,0,432,21.60,175,0.1143,444,0,0,0
E1_amr3,reference,3,151,REFERENCE,20,20,0,431,21.55,185,0.1081,449,0,0,0
E1_amr3,reference,4,168,REFERENCE,20,20,0,388,19.40,156,0.1282,404,0,0,0
E1_amr3,reference,5,185,REFERENCE,20,20,0,428,21.40,159,0.1258,442,0,0,0
E1_amr3,reference,6,202,REFERENCE,20,20,0,450,22.50,133,0.1504,453,0,0,0
E1_amr3,reference,7,219,REFERENCE,20,20,0,415,20.75,110,0.1818,425,0,0,0
E1_amr3,reference,8,236,REFERENCE,20,20,0,401,20.05,120,0.1667,418,0,0,0
