config,enh_mk,ref_mk,diff,pct_diff,enh_del,ref_del,enh_dist,ref_dist,enh_deaths,ref_deaths
E1_amr12,249.5,146.1,+103.4,+71%,66.6,20.9,1364,430,0.5,0.0
E1_amr3,460.5,146.1,+314.4,+215%,174.4,20.9,1033,431,0.0,0.0
E1_amr5,318.9,146.8,+172.1,+117%,106.6,20.8,1084,430,0.0,0.0
E1_amr8,261.2,145.4,+115.8,+80%,78.0,20.9,1165,430,0.1,0.0
E2_geometric,324.7,146.4,+178.3,+122%,108.1,20.9,1091,430,0.0,0.0
E2_poisson,324.9,234.7,+90.2,+38%,106.8,20.8,1082,428,0.1,0.0
E2_uniform,327.6,999.0,-671.4,-67%,95.9,21.0,1117,424,0.0,0.0
E3_bat100,322.8,147.2,+175.6,+119%,109.9,21.1,1100,431,0.0,0.0
E3_bat200,288.4,145.6,+142.8,+98%,88.7,20.9,979,431,0.1,0.0
E3_bat50,383.6,146.4,+237.2,+162%,138.5,21.0,1317,431,0.3,0.0
E4_inter0,335.9,233.2,+102.7,+44%,112.7,25.5,1113,489,0.1,0.0
E4_inter1,302.5,146.1,+156.4,+107%,99.6,21.1,1038,432,0.0,0.0
E4_inter2,328.4,145.6,+182.8,+126%,110.6,20.9,1102,430,0.0,0.0
E4_inter4,317.2,145.8,+171.4,+118%,106.9,20.9,1060,430,0.1,0.0
E5_obs0,307.5,196.6,+110.9,+56%,99.5,26.0,1045,464,0.0,0.0
E5_obs10,327.9,145.5,+182.4,+125%,108.0,21.1,1097,432,0.0,0.0
E5_obs20,327.4,147.8,+179.6,+122%,110.2,22.0,1137,442,0.1,0.0
E5_obs5,325.6,146.1,+179.5,+123%,110.2,20.9,1097,429,0.0,0.0
E6_pal100,1486.5,674.0,+812.5,+121%,414.5,21.2,5476,2167,0.0,0.0
E6_pal20,317.9,145.7,+172.2,+118%,107.8,21.1,1077,432,0.1,0.0
E6_pal50,742.6,335.2,+407.4,+122%,220.6,21.2,2713,1080,0.0,0.0
