config,mode,avg_makespan,avg_delivery,avg_distance,avg_throughput,min_makespan,max_makespan,std_makespan,delivered_pct,battery_deaths,runs
E1_amr12,enhanced,249.5,66.6,1364,0.0813,204,295,29.3,100.0,0.5,10
E1_amr12,reference,146.1,20.9,430,0.1438,106,204,32.7,100.0,0.0,10
E1_amr3,enhanced,460.5,174.4,1033,0.0437,412,524,35.3,100.0,0.0,10
E1_amr3,reference,146.1,20.9,431,0.1441,106,206,33.5,100.0,0.0,10
E1_amr5,enhanced,318.9,106.6,1084,0.0631,279,356,24.7,100.0,0.0,10
E1_amr5,reference,146.8,20.8,430,0.1433,107,206,33.5,100.0,0.0,10
E1_amr8,enhanced,261.2,78.0,1165,0.0773,223,298,24.7,100.0,0.1,10
E1_amr8,reference,145.4,20.9,430,0.1448,106,204,33.3,100.0,0.0,10
E2_geometric,enhanced,324.7,108.1,1091,0.0617,303,342,12.5,100.0,0.0,10
E2_geometric,reference,146.4,20.9,430,0.1434,106,204,32.6,100.0,0.0,10
E2_poisson,enhanced,324.9,106.8,1082,0.0624,273,372,29.0,100.0,0.1,10
E2_poisson,reference,234.7,20.8,428,0.1278,112,999,256.6,99.5,0.0,10
E2_uniform,enhanced,327.6,95.9,1117,0.0642,309,345,11.9,100.0,0.0,10
E2_uniform,reference,999.0,21.0,424,0.0200,999,999,0.0,95.2,0.0,10
E3_bat100,enhanced,322.8,109.9,1100,0.0621,301,362,17.3,100.0,0.0,10
E3_bat100,reference,147.2,21.1,431,0.1428,106,204,32.6,100.0,0.0,10
E3_bat200,enhanced,288.4,88.7,979,0.0696,268,329,18.5,100.0,0.1,10
E3_bat200,reference,145.6,20.9,431,0.1444,107,204,32.9,100.0,0.0,10
E3_bat50,enhanced,383.6,138.5,1317,0.0525,328,432,32.3,100.0,0.3,10
E3_bat50,reference,146.4,21.0,431,0.1432,109,204,32.3,100.0,0.0,10
E4_inter0,enhanced,335.9,112.7,1113,0.0597,309,375,19.4,100.0,0.1,10
E4_inter0,reference,233.2,25.5,489,0.1304,108,999,257.4,99.5,0.0,10
E4_inter1,enhanced,302.5,99.6,1038,0.0662,287,322,11.1,100.0,0.0,10
E4_inter1,reference,146.1,21.1,432,0.1437,109,204,32.5,100.0,0.0,10
E4_inter2,enhanced,328.4,110.6,1102,0.0611,297,355,16.5,100.0,0.0,10
E4_inter2,reference,145.6,20.9,430,0.1447,106,204,33.6,100.0,0.0,10
E4_inter4,enhanced,317.2,106.9,1060,0.0638,259,371,33.5,100.0,0.1,10
E4_inter4,reference,145.8,20.9,430,0.1442,106,204,33.1,100.0,0.0,10
E5_obs0,enhanced,307.5,99.5,1045,0.0653,282,347,18.5,100.0,0.0,10
E5_obs0,reference,196.6,26.0,464,0.1346,108,673,161.8,100.0,0.0,10
E5_obs10,enhanced,327.9,108.0,1097,0.0613,301,367,24.4,100.0,0.0,10
E5_obs10,reference,145.5,21.1,432,0.1448,105,204,33.4,100.0,0.0,10
E5_obs20,enhanced,327.4,110.2,1137,0.0615,291,388,27.0,100.0,0.1,10
E5_obs20,reference,147.8,22.0,442,0.1423,105,204,33.0,100.0,0.0,10
E5_obs5,enhanced,325.6,110.2,1097,0.0617,299,374,24.2,100.0,0.0,10
E5_obs5,reference,146.1,20.9,429,0.1438,106,204,32.8,100.0,0.0,10
E6_pal100,enhanced,1486.5,414.5,5476,0.0673,1435,1593,44.8,100.0,0.0,10
E6_pal100,reference,674.0,21.2,2167,0.1496,599,789,61.1,100.0,0.0,10
E6_pal20,enhanced,317.9,107.8,1077,0.0633,275,361,24.2,100.0,0.1,10
E6_pal20,reference,145.7,21.1,432,0.1445,106,204,33.4,100.0,0.0,10
E6_pal50,enhanced,742.6,220.6,2713,0.0674,706,781,23.4,100.0,0.0,10
E6_pal50,reference,335.2,21.2,1080,0.1515,273,394,40.9,100.0,0.0,10
