phase,experiment,seed,mode,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked,conflicts,yields,relay_drops
P0,P0_baseline,150,ENHANCED,50,50,0,4479,89.58,487,0.1027,1726,0,7,7,10,10,7
P0,P0_baseline,150,REFERENCE,50,41,0,780,19.02,1999,0.0205,837,0,0,0,0,0,0
P0,P0_baseline,151,ENHANCED,50,50,0,4176,83.52,469,0.1066,1719,0,8,8,9,9,8
P0,P0_baseline,151,REFERENCE,50,50,0,1098,21.96,331,0.1511,1037,0,0,0,0,0,0
P0,P0_baseline,152,ENHANCED,50,50,0,4789,95.78,507,0.0986,1773,0,9,9,23,23,9
P0,P0_baseline,152,REFERENCE,50,50,0,1032,20.64,329,0.1520,1038,0,0,0,0,0,0
P0,P0_baseline,153,ENHANCED,50,50,0,4528,90.56,482,0.1037,1753,0,10,10,13,13,10
P0,P0_baseline,153,REFERENCE,50,50,0,1027,20.54,331,0.1511,1037,0,0,0,0,0,0
P0,P0_baseline,154,ENHANCED,50,50,0,4216,84.32,491,0.1018,1734,0,10,10,14,14,10
P0,P0_baseline,154,REFERENCE,50,50,0,1029,20.58,329,0.1520,1037,0,0,0,0,0,0
P0,P0_baseline,155,ENHANCED,50,50,0,4125,82.50,478,0.1046,1734,0,11,11,19,19,11
P0,P0_baseline,155,REFERENCE,50,50,0,1002,20.04,329,0.1520,1036,0,0,0,0,0,0
P0,P0_baseline,156,ENHANCED,50,50,0,4259,85.18,475,0.1053,1733,0,8,8,19,19,8
P0,P0_baseline,156,REFERENCE,50,50,0,1052,21.04,329,0.1520,1037,0,0,0,0,0,0
P0,P0_baseline,157,ENHANCED,50,50,0,4746,94.92,513,0.0975,1777,0,9,9,10,10,9
P0,P0_baseline,157,REFERENCE,50,50,0,1016,20.32,329,0.1520,1037,0,0,0,0,0,0
P0,P0_baseline,158,ENHANCED,50,50,0,4108,82.16,477,0.1048,1692,0,6,6,12,12,6
P0,P0_baseline,158,REFERENCE,50,50,0,1033,20.66,329,0.1520,1037,0,0,0,0,0,0
P0,P0_baseline,159,ENHANCED,50,50,0,4513,90.26,480,0.1042,1741,0,12,12,24,24,12
P0,P0_baseline,159,REFERENCE,50,48,0,1017,21.19,1999,0.0240,999,0,0,0,0,0,0
P1,P1_dumb_fleet,150,ENHANCED,50,50,0,6288,125.76,623,0.0803,2163,0,0,0,0,0,0
P1,P1_dumb_fleet,151,ENHANCED,50,50,0,6510,130.20,614,0.0814,2149,0,0,0,0,0,0
P1,P1_dumb_fleet,152,ENHANCED,50,50,0,5945,118.90,587,0.0852,2151,0,0,0,0,0,0
P1,P1_dumb_fleet,153,ENHANCED,50,50,0,6071,121.42,561,0.0891,2176,0,0,0,0,0,0
P1,P1_dumb_fleet,154,ENHANCED,50,50,0,6031,120.62,591,0.0846,2137,0,0,0,0,0,0
P1,P1_dumb_fleet,155,ENHANCED,50,50,0,6175,123.50,608,0.0822,2121,0,0,0,0,0,0
P1,P1_dumb_fleet,156,ENHANCED,50,50,0,6087,121.74,565,0.0885,2161,0,0,0,0,0,0
P1,P1_dumb_fleet,157,ENHANCED,50,50,0,6441,128.82,658,0.0760,2171,0,0,0,0,0,0
P1,P1_dumb_fleet,158,ENHANCED,50,50,0,6771,135.42,651,0.0768,2176,0,0,0,0,0,0
P1,P1_dumb_fleet,159,ENHANCED,50,50,0,6095,121.90,606,0.0825,2187,0,0,0,0,0,0
P2,P2_crowded_astar,150,ENHANCED,100,100,0,28184,281.84,1262,0.0792,4754,2,2,2,0,0,1
P2,P2_crowded_astar,151,ENHANCED,100,100,0,21951,219.51,1105,0.0905,4600,3,2,2,0,0,1
P2,P2_crowded_astar,152,ENHANCED,100,98,2,23357,238.34,3999,0.0245,5377,3,6,6,0,0,4
P2,P2_crowded_astar,153,ENHANCED,100,96,3,23996,249.96,3999,0.0240,6304,2,5,5,0,0,4
P2,P2_crowded_astar,154,ENHANCED,100,100,0,25408,254.08,2305,0.0434,5803,1,7,7,0,0,7
P2,P2_crowded_astar,155,ENHANCED,100,100,0,26516,265.16,1247,0.0802,4680,2,5,5,0,0,5
P2,P2_crowded_astar,156,ENHANCED,100,100,0,24968,249.68,1252,0.0799,4630,3,4,4,0,0,4
P2,P2_crowded_astar,157,ENHANCED,100,93,7,24512,263.57,3999,0.0233,4976,3,4,4,0,0,3
P2,P2_crowded_astar,158,ENHANCED,100,99,1,31828,321.49,3999,0.0248,6665,7,8,8,0,0,5
P2,P2_crowded_astar,159,ENHANCED,100,95,4,22478,236.61,3999,0.0238,5912,2,5,5,0,0,4
P2,P2_crowded_astar_diagonal,150,ENHANCED,100,100,0,6419,64.19,730,0.1370,3406,0,0,0,0,0,0
P2,P2_crowded_astar_diagonal,151,ENHANCED,100,100,0,6851,68.51,729,0.1372,3456,0,0,0,0,0,0
P2,P2_crowded_astar_diagonal,152,ENHANCED,100,100,0,7106,71.06,732,0.1366,3429,0,1,1,0,0,1
P2,P2_crowded_astar_diagonal,153,ENHANCED,100,100,0,6585,65.85,720,0.1389,3421,0,0,0,0,0,0
P2,P2_crowded_astar_diagonal,154,ENHANCED,100,100,0,6689,66.89,717,0.1395,3423,0,1,1,0,0,1
P2,P2_crowded_astar_diagonal,155,ENHANCED,100,100,0,6594,65.94,722,0.1385,3385,0,0,0,0,0,0
P2,P2_crowded_astar_diagonal,156,ENHANCED,100,100,0,6807,68.07,805,0.1242,3558,0,1,1,0,0,1
P2,P2_crowded_astar_diagonal,157,ENHANCED,100,100,0,6751,67.51,722,0.1385,3474,0,2,2,0,0,2
P2,P2_crowded_astar_diagonal,158,ENHANCED,100,100,0,6995,69.95,731,0.1368,3427,0,0,0,0,0,0
P2,P2_crowded_astar_diagonal,159,ENHANCED,100,100,0,6398,63.98,730,0.1370,3397,0,0,0,0,0,0
P2,P2_crowded_astar_penalties,150,ENHANCED,100,100,0,38886,388.86,1519,0.0658,5213,2,3,3,0,0,3
P2,P2_crowded_astar_penalties,151,ENHANCED,100,100,0,19932,199.32,1055,0.0948,4802,0,6,6,0,0,6
P2,P2_crowded_astar_penalties,152,ENHANCED,100,100,0,62650,626.50,1826,0.0548,5416,0,3,3,0,0,3
P2,P2_crowded_astar_penalties,153,ENHANCED,100,100,0,32033,320.33,2505,0.0399,5638,2,4,4,0,0,4
P2,P2_crowded_astar_penalties,154,ENHANCED,100,100,0,25015,250.15,1225,0.0816,4891,2,7,7,0,0,6
P2,P2_crowded_astar_penalties,155,ENHANCED,100,100,0,22306,223.06,1156,0.0865,4838,2,7,7,0,0,6
P2,P2_crowded_astar_penalties,156,ENHANCED,100,100,0,71328,713.28,1861,0.0537,5429,1,3,3,0,0,3
P2,P2_crowded_astar_penalties,157,ENHANCED,100,100,0,25168,251.68,1246,0.0803,5121,0,3,3,0,0,3
P2,P2_crowded_astar_penalties,158,ENHANCED,100,94,6,16233,172.69,3999,0.0235,4316,3,6,6,0,0,5
P2,P2_crowded_astar_penalties,159,ENHANCED,100,100,0,33801,338.01,1299,0.0770,4928,2,2,2,0,0,1
P2,P2_crowded_bfs,150,ENHANCED,100,97,3,19491,200.94,3999,0.0243,5208,5,6,6,0,0,4
P2,P2_crowded_bfs,151,ENHANCED,100,100,0,20167,201.67,2384,0.0419,5656,4,5,5,0,0,4
P2,P2_crowded_bfs,152,ENHANCED,100,100,0,18631,186.31,1035,0.0966,4402,3,5,5,0,0,3
P2,P2_crowded_bfs,153,ENHANCED,100,100,0,24106,241.06,3946,0.0253,5653,5,5,5,0,0,4
P2,P2_crowded_bfs,154,ENHANCED,100,100,0,19254,192.54,1091,0.0917,4535,3,4,4,0,0,4
P2,P2_crowded_bfs,155,ENHANCED,100,100,0,17159,171.59,1061,0.0943,4429,3,6,6,0,0,5
P2,P2_crowded_bfs,156,ENHANCED,100,100,0,17749,177.49,1049,0.0953,4423,1,3,3,0,0,3
P2,P2_crowded_bfs,157,ENHANCED,100,100,0,19837,198.37,1091,0.0917,4541,2,4,4,0,0,3
P2,P2_crowded_bfs,158,ENHANCED,100,100,0,19429,194.29,1054,0.0949,4455,2,4,4,0,0,3
P2,P2_crowded_bfs,159,ENHANCED,100,100,0,33463,334.63,3250,0.0308,4956,2,5,5,0,0,4
P2,P2_crowded_dijkstra,150,ENHANCED,100,100,0,15705,157.05,992,0.1008,4585,2,5,5,0,0,5
P2,P2_crowded_dijkstra,151,ENHANCED,100,100,0,16166,161.66,1069,0.0935,4630,2,3,3,0,0,3
P2,P2_crowded_dijkstra,152,ENHANCED,100,100,0,15696,156.96,1020,0.0980,4567,3,5,5,0,0,5
P2,P2_crowded_dijkstra,153,ENHANCED,100,100,0,17607,176.07,2038,0.0491,5265,3,4,4,0,0,3
P2,P2_crowded_dijkstra,154,ENHANCED,100,100,0,15970,159.70,1050,0.0952,4710,2,5,5,0,0,4
P2,P2_crowded_dijkstra,155,ENHANCED,100,100,0,13494,134.94,980,0.1020,4494,3,5,5,0,0,4
P2,P2_crowded_dijkstra,156,ENHANCED,100,100,0,16202,162.02,1035,0.0966,4603,3,6,6,0,0,4
P2,P2_crowded_dijkstra,157,ENHANCED,100,100,0,15689,156.89,1026,0.0975,4541,4,6,6,0,0,5
P2,P2_crowded_dijkstra,158,ENHANCED,100,97,3,13276,136.87,3999,0.0243,5434,3,5,5,0,0,3
P2,P2_crowded_dijkstra,159,ENHANCED,100,100,0,15067,150.67,990,0.1010,4500,3,4,4,0,0,2
P2,P2_maze_astar,150,ENHANCED,50,50,0,8719,174.38,961,0.0520,2334,0,1,1,0,0,1
P2,P2_maze_astar,151,ENHANCED,50,50,0,11777,235.54,1207,0.0414,2291,0,0,0,0,0,0
P2,P2_maze_astar,152,ENHANCED,50,50,0,6388,127.76,748,0.0668,2302,0,2,2,0,0,2
P2,P2_maze_astar,153,ENHANCED,50,50,0,7497,149.94,844,0.0592,2363,0,2,2,0,0,2
P2,P2_maze_astar,154,ENHANCED,50,50,0,8009,160.18,1092,0.0458,2249,0,0,0,0,0,0
