strategy,prob,split,dist,preload,run,seed,mode,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked
baseline,0.15,true,binomial,0,1,113,ENHANCED,20,20,0,1674,83.70,322,0.0621,1133,0,7,7
baseline,0.15,true,binomial,0,2,126,ENHANCED,20,20,0,1956,97.80,293,0.0683,982,0,7,7
baseline,0.15,true,binomial,0,3,139,ENHANCED,20,20,0,1960,98.00,297,0.0673,1053,0,6,6
baseline,0.15,true,binomial,0,4,152,ENHANCED,20,20,0,2134,106.70,332,0.0602,1064,0,5,5
baseline,0.15,true,binomial,0,5,165,ENHANCED,20,20,0,2330,116.50,328,0.0610,1129,0,7,7
baseline,0.15,true,binomial,0,6,178,ENHANCED,20,20,0,1942,97.10,291,0.0687,1032,0,5,5
baseline,0.15,true,binomial,0,7,191,ENHANCED,20,20,0,2126,106.30,334,0.0599,1147,0,8,8
baseline,0.15,true,binomial,0,8,204,ENHANCED,20,20,0,1803,90.15,290,0.0690,1014,0,7,7
baseline,0.15,true,binomial,0,9,217,ENHANCED,20,20,0,2026,101.30,303,0.0660,1117,0,9,9
baseline,0.15,true,binomial,0,10,230,ENHANCED,20,20,0,2059,102.95,334,0.0599,1122,0,7,7
baseline,0.15,true,binomial,0,11,243,ENHANCED,20,20,0,2364,118.20,351,0.0570,1153,0,7,7
baseline,0.15,true,binomial,0,12,256,ENHANCED,20,20,0,2113,105.65,374,0.0535,1111,0,7,7
baseline,0.15,true,binomial,0,13,269,ENHANCED,20,20,0,2644,132.20,370,0.0541,1194,0,7,7
baseline,0.15,true,binomial,0,14,282,ENHANCED,20,20,0,2295,114.75,346,0.0578,1100,0,7,7
baseline,0.15,true,binomial,0,15,295,ENHANCED,20,20,0,2314,115.70,340,0.0588,1090,0,6,6
baseline,0.15,true,binomial,0,16,308,ENHANCED,20,20,0,2396,119.80,307,0.0651,1072,0,4,4
baseline,0.15,true,binomial,0,17,321,ENHANCED,20,20,0,2412,120.60,348,0.0575,1224,0,9,9
baseline,0.15,true,binomial,0,18,334,ENHANCED,20,20,0,1684,84.20,301,0.0664,1052,0,6,6
baseline,0.15,true,binomial,0,19,347,ENHANCED,20,20,0,2257,112.85,320,0.0625,1060,0,7,7
