strategy,prob,split,dist,preload,avg_makespan,avg_delivery,avg_distance,min_makespan,max_makespan,std_makespan,delivered_pct,runs
preload5,0.15,true,binomial,5,314.5,122.6,1135,253,357,21.0,100.0,30
preload5_nosplit,0.15,false,binomial,5,315.4,147.8,1148,248,366,24.9,100.0,30
geometric_nosplit,0.15,false,geometric,0,316.7,138.5,1117,267,368,26.9,100.0,30
poisson_nosplit,0.15,false,poisson,0,317.2,138.0,1122,279,350,17.3,100.0,30
highrate,0.30,false,binomial,0,319.3,150.5,1133,259,388,27.8,100.0,30
veryhigh,0.50,false,binomial,0,319.4,155.4,1146,286,362,18.7,100.0,30
nosplit,0.15,false,binomial,0,324.3,142.3,1137,275,379,25.1,100.0,30
baseline,0.15,true,binomial,0,324.8,105.4,1097,281,374,24.7,100.0,30
uniform_nosplit,0.15,false,uniform,0,333.3,145.0,1186,298,425,25.0,100.0,30
preload_all,0.15,true,binomial,20,341.3,171.5,1212,299,406,28.7,100.0,30
