rc1,rc2,ic,run,mode,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked
3,12,5,1,ENHANCED,20,20,0,2306,115.30,334,0.0599,1129,0,7,7
3,12,5,2,ENHANCED,20,20,0,2753,137.65,335,0.0597,1174,0,9,9
3,12,5,3,ENHANCED,20,20,0,1662,83.10,298,0.0671,1093,0,7,7
3,12,7,1,ENHANCED,20,20,0,2329,116.45,319,0.0627,1159,0,6,6
3,12,7,2,ENHANCED,20,20,0,2856,142.80,357,0.0560,1257,0,12,12
3,12,7,3,ENHANCED,20,20,0,1922,96.10,343,0.0583,1128,0,5,5
3,12,10,1,ENHANCED,20,20,0,2238,111.90,311,0.0643,1106,0,6,6
3,12,10,2,ENHANCED,20,20,0,2448,122.40,322,0.0621,1123,0,8,8
3,12,10,3,ENHANCED,20,20,0,1875,93.75,321,0.0623,1176,0,10,10
3,12,13,1,ENHANCED,20,20,0,2607,130.35,369,0.0542,1321,0,12,12
3,12,13,2,ENHANCED,20,20,0,2630,131.50,349,0.0573,1208,0,10,10
3,12,13,3,ENHANCED,20,20,0,2056,102.80,339,0.0590,1172,0,8,8
3,12,15,1,ENHANCED,20,20,0,2775,138.75,370,0.0541,1367,0,12,12
3,12,15,2,ENHANCED,20,20,0,2673,133.65,334,0.0599,1240,0,8,8
3,12,15,3,ENHANCED,20,20,0,2577,128.85,387,0.0517,1334,0,11,11
3,14,5,1,ENHANCED,20,20,0,2222,111.10,278,0.0719,1036,0,5,5
3,14,5,2,ENHANCED,20,20,0,2428,121.40,323,0.0619,1147,0,8,8
3,14,5,3,ENHANCED,20,20,0,1769,88.45,346,0.0578,1072,0,6,6
3,14,7,1,ENHANCED,20,20,0,2433,121.65,342,0.0585,1252,0,10,10
3,14,7,2,ENHANCED,20,20,0,2448,122.40,332,0.0602,1235,0,10,10
3,14,7,3,ENHANCED,20,20,0,1939,96.95,325,0.0615,1174,0,9,9
3,14,10,1,ENHANCED,20,20,0,2574,128.70,338,0.0592,1231,0,12,12
3,14,10,2,ENHANCED,20,20,0,2672,133.60,317,0.0631,1177,0,10,10
3,14,10,3,ENHANCED,20,20,0,2360,118.00,368,0.0543,1246,0,8,8
3,14,13,1,ENHANCED,20,20,0,2338,116.90,335,0.0597,1176,0,9,9
3,14,13,2,ENHANCED,20,20,0,2326,116.30,313,0.0639,1168,0,9,9
3,14,13,3,ENHANCED,20,20,0,1932,96.60,389,0.0514,1224,0,7,7
3,14,15,1,ENHANCED,20,20,0,2678,133.90,354,0.0565,1302,0,11,11
3,14,15,2,ENHANCED,20,20,0,2745,137.25,341,0.0587,1274,0,10,10
3,14,15,3,ENHANCED,20,20,0,2395,119.75,379,0.0528,1354,0,13,13
