rc1,rc2,ic,avg_makespan,avg_delivery,runs
3,12,10,20.0,20.0,3
3,12,13,20.0,20.0,3
3,12,15,20.0,20.0,3
3,12,5,20.0,20.0,3
3,12,7,20.0,20.0,3
3,14,10,20.0,20.0,3
3,14,13,20.0,20.0,3
3,14,15,20.0,20.0,3
3,14,5,20.0,20.0,3
3,14,7,20.0,20.0,3
3,16,10,20.0,20.0,3
3,16,13,20.0,20.0,3
3,16,15,20.0,20.0,3
3,16,5,20.0,20.0,3
3,16,7,20.0,20.0,3
5,12,10,20.0,20.0,3
5,12,13,20.0,20.0,3
5,12,15,20.0,20.0,3
5,12,5,20.0,20.0,3
5,12,7,20.0,20.0,3
5,14,10,20.0,20.0,3
5,14,13,20.0,20.0,3
5,14,15,20.0,20.0,3
5,14,5,20.0,20.0,3
5,14,7,20.0,20.0,3
5,16,10,20.0,20.0,3
5,16,13,20.0,20.0,3
5,16,15,20.0,20.0,3
5,16,5,20.0,20.0,3
5,16,7,20.0,20.0,3
7,12,10,20.0,20.0,3
7,12,13,20.0,20.0,3
7,12,15,20.0,20.0,3
7,12,5,20.0,20.0,3
7,12,7,20.0,20.0,3
7,14,10,20.0,20.0,3
7,14,13,20.0,20.0,3
7,14,15,20.0,20.0,3
7,14,5,20.0,20.0,3
7,14,7,20.0,20.0,3
7,16,10,20.0,20.0,3
7,16,13,20.0,20.0,3
7,16,15,20.0,20.0,3
7,16,5,20.0,20.0,3
7,16,7,20.0,20.0,3
