rc1,rc2,ic,run,seed,mode,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked
5,12,5,1,113,ENHANCED,20,20,0,1403,70.15,316,0.0633,1023,0,8,8
5,12,5,2,126,ENHANCED,20,20,0,1832,91.60,287,0.0697,1033,0,7,7
5,12,5,3,139,ENHANCED,20,20,0,1837,91.85,306,0.0654,1060,0,7,7
5,12,5,4,152,ENHANCED,20,20,0,1910,95.50,292,0.0685,945,0,6,6
5,12,5,5,165,ENHANCED,20,20,0,2235,111.75,313,0.0639,1062,0,8,8
5,12,5,6,178,ENHANCED,20,20,0,1616,80.80,285,0.0702,936,0,7,7
5,12,5,7,191,ENHANCED,20,20,0,1693,84.65,291,0.0687,1065,0,5,5
5,12,5,8,204,ENHANCED,20,20,0,1616,80.80,299,0.0669,1002,0,6,6
5,12,5,9,217,ENHANCED,20,20,0,1790,89.50,309,0.0647,1050,0,5,5
5,12,5,10,230,ENHANCED,20,20,0,1850,92.50,351,0.0570,1176,0,9,9
5,12,5,11,243,ENHANCED,20,20,0,2025,101.25,357,0.0560,1055,0,5,5
5,12,5,12,256,ENHANCED,20,20,0,1961,98.05,353,0.0567,1079,0,4,4
5,12,5,13,269,ENHANCED,20,20,0,2381,119.05,363,0.0551,1062,0,7,7
5,12,5,14,282,ENHANCED,20,20,0,2143,107.15,354,0.0565,1129,0,7,7
5,12,5,15,295,ENHANCED,20,20,0,2139,106.95,289,0.0692,1017,0,7,7
5,12,5,16,308,ENHANCED,20,20,0,2423,121.15,311,0.0643,1052,0,6,6
5,12,5,17,321,ENHANCED,20,20,0,2033,101.65,330,0.0606,1060,0,5,5
5,12,5,18,334,ENHANCED,20,20,0,1791,89.55,320,0.0625,1025,0,7,7
5,12,5,19,347,ENHANCED,20,20,0,2325,116.25,323,0.0619,1056,0,6,6
5,12,5,20,360,ENHANCED,21,21,0,2305,109.76,360,0.0583,1154,0,7,7
5,12,5,21,373,ENHANCED,20,20,0,2182,109.10,320,0.0625,1077,0,7,7
5,12,5,22,386,ENHANCED,20,20,0,1857,92.85,307,0.0651,1100,0,6,6
5,12,5,23,399,ENHANCED,20,20,0,2094,104.70,325,0.0615,1039,0,7,7
5,12,5,24,412,ENHANCED,20,20,0,1821,91.05,265,0.0755,987,0,7,7
5,12,5,25,425,ENHANCED,20,20,0,2348,117.40,322,0.0621,1030,0,4,4
5,12,5,26,438,ENHANCED,20,20,0,2299,114.95,360,0.0556,1154,0,4,4
5,12,5,27,451,ENHANCED,20,20,0,1601,80.05,297,0.0673,1016,0,4,4
5,12,5,28,464,ENHANCED,20,20,0,2237,111.85,302,0.0662,1056,0,7,7
5,12,5,29,477,ENHANCED,20,20,0,1988,99.40,315,0.0635,1097,0,8,8
5,12,5,30,490,ENHANCED,20,20,0,1754,87.70,347,0.0576,1058,0,4,4
7,14,5,1,113,ENHANCED,20,20,0,1712,85.60,318,0.0629,1066,0,5,5
7,14,5,2,126,ENHANCED,20,20,0,1718,85.90,255,0.0784,960,0,6,6
7,14,5,3,139,ENHANCED,20,20,0,2236,111.80,375,0.0533,1225,0,10,10
7,14,5,4,152,ENHANCED,20,20,0,2213,110.65,363,0.0551,1059,0,7,7
7,14,5,5,165,ENHANCED,20,20,0,2268,113.40,322,0.0621,1107,0,7,7
7,14,5,6,178,ENHANCED,20,20,0,1829,91.45,281,0.0712,1044,0,7,7
7,14,5,7,191,ENHANCED,20,20,0,1969,98.45,336,0.0595,1106,0,6,6
7,14,5,8,204,ENHANCED,20,20,0,1524,76.20,270,0.0741,949,0,4,4
7,14,5,9,217,ENHANCED,20,20,0,1897,94.85,313,0.0639,1085,0,8,8
7,14,5,10,230,ENHANCED,20,20,0,2169,108.45,365,0.0548,1229,0,9,9
7,14,5,11,243,ENHANCED,20,20,0,1944,97.20,302,0.0662,1040,0,7,7
7,14,5,12,256,ENHANCED,20,20,0,1708,85.40,341,0.0587,1033,0,4,4
7,14,5,13,269,ENHANCED,20,20,0,2551,127.55,355,0.0563,1098,0,6,6
7,14,5,14,282,ENHANCED,20,20,0,2065,103.25,307,0.0651,1104,0,7,7
7,14,5,15,295,ENHANCED,20,20,0,2143,107.15,315,0.0635,1093,0,8,8
7,14,5,16,308,ENHANCED,20,20,0,2469,123.45,324,0.0617,1077,0,7,7
7,14,5,17,321,ENHANCED,20,20,0,2235,111.75,362,0.0552,1164,0,7,7
7,14,5,18,334,ENHANCED,20,20,0,1931,96.55,333,0.0601,1116,0,7,7
7,14,5,19,347,ENHANCED,20,20,0,2225,111.25,302,0.0662,1038,0,4,4
7,14,5,20,360,ENHANCED,21,21,0,2181,103.86,316,0.0665,1127,0,6,6
7,14,5,21,373,ENHANCED,20,20,0,2832,141.60,369,0.0542,1234,0,9,9
7,14,5,22,386,ENHANCED,20,20,0,1904,95.20,319,0.0627,1080,0,8,8
7,14,5,23,399,ENHANCED,20,20,0,1964,98.20,308,0.0649,1041,0,8,8
7,14,5,24,412,ENHANCED,20,20,0,1794,89.70,262,0.0763,962,0,4,4
7,14,5,25,425,ENHANCED,20,20,0,2193,109.65,346,0.0578,1072,0,5,5
7,14,5,26,438,ENHANCED,20,20,0,2027,101.35,318,0.0629,1124,0,6,6
7,14,5,27,451,ENHANCED,20,20,0,1687,84.35,316,0.0633,1059,0,5,5
7,14,5,28,464,ENHANCED,20,20,0,2582,129.10,346,0.0578,1144,0,8,8
7,14,5,29,477,ENHANCED,20,20,0,1898,94.90,318,0.0629,1074,0,8,8
7,14,5,30,490,ENHANCED,20,20,0,1610,80.50,301,0.0664,1025,0,7,7
7,12,5,1,113,ENHANCED,20,20,0,1729,86.45,353,0.0567,1118,0,8,8
7,12,5,2,126,ENHANCED,20,20,0,2044,102.20,323,0.0619,1177,0,11,11
7,12,5,3,139,ENHANCED,20,20,0,1890,94.50,304,0.0658,1059,0,7,7
7,12,5,4,152,ENHANCED,20,20,0,2003,100.15,298,0.0671,1022,0,9,9
7,12,5,5,165,ENHANCED,20,20,0,2467,123.35,353,0.0567,1119,0,8,8
7,12,5,6,178,ENHANCED,20,20,0,1895,94.75,282,0.0709,1021,0,8,8
7,12,5,7,191,ENHANCED,20,20,0,1747,87.35,307,0.0651,1074,0,6,6
7,12,5,8,204,ENHANCED,20,20,0,1770,88.50,327,0.0612,1057,0,4,4
7,12,5,9,217,ENHANCED,20,20,0,1928,96.40,320,0.0625,1076,0,5,5
7,12,5,10,230,ENHANCED,20,20,0,1961,98.05,345,0.0580,1106,0,7,7
7,12,5,11,243,ENHANCED,20,20,0,2294,114.70,324,0.0617,1105,0,6,6
7,12,5,12,256,ENHANCED,20,20,0,1854,92.70,336,0.0595,1057,0,4,4
7,12,5,13,269,ENHANCED,20,20,0,2270,113.50,318,0.0629,1070,0,8,8
7,12,5,14,282,ENHANCED,20,20,0,1915,95.75,325,0.0615,1078,0,6,6
7,12,5,15,295,ENHANCED,20,20,0,2099,104.95,324,0.0617,1077,0,7,7
7,12,5,16,308,ENHANCED,20,20,0,2176,108.80,300,0.0667,1048,0,7,7
7,12,5,17,321,ENHANCED,20,20,0,2129,106.45,354,0.0565,1065,0,3,3
7,12,5,18,334,ENHANCED,20,20,0,2060,103.00,339,0.0590,1086,0,5,5
7,12,5,19,347,ENHANCED,20,20,0,2486,124.30,353,0.0567,1091,0,2,2
7,12,5,20,360,ENHANCED,21,21,0,2300,109.52,334,0.0629,1134,0,4,4
7,12,5,21,373,ENHANCED,20,20,0,2404,120.20,360,0.0556,1070,1,8,8
7,12,5,22,386,ENHANCED,20,20,0,1767,88.35,294,0.0680,1026,0,8,8
7,12,5,23,399,ENHANCED,20,20,0,2103,105.15,321,0.0623,1065,0,7,7
7,12,5,24,412,ENHANCED,20,20,0,1911,95.55,271,0.0738,985,0,5,5
7,12,5,25,425,ENHANCED,20,20,0,2132,106.60,320,0.0625,1046,0,6,6
7,12,5,26,438,ENHANCED,20,20,0,1869,93.45,329,0.0608,1101,0,9,9
7,12,5,27,451,ENHANCED,20,20,0,1628,81.40,304,0.0658,1037,0,5,5
7,12,5,28,464,ENHANCED,20,20,0,2108,105.40,289,0.0692,1023,0,7,7
7,12,5,29,477,ENHANCED,20,20,0,1811,90.55,339,0.0590,1056,0,6,6
7,12,5,30,490,ENHANCED,20,20,0,1590,79.50,327,0.0612,1057,0,4,4
5,14,5,1,113,ENHANCED,20,20,0,1686,84.30,322,0.0621,1087,0,7,7
5,14,5,2,126,ENHANCED,20,20,0,1933,96.65,304,0.0658,1017,0,5,5
5,14,5,3,139,ENHANCED,20,20,0,2033,101.65,311,0.0643,1108,0,7,7
5,14,5,4,152,ENHANCED,20,20,0,1907,95.35,306,0.0654,986,0,6,6
5,14,5,5,165,ENHANCED,20,20,0,2286,114.30,317,0.0631,1066,0,7,7
5,14,5,6,178,ENHANCED,20,20,0,1600,80.00,270,0.0741,964,0,4,4
5,14,5,7,191,ENHANCED,20,20,0,1834,91.70,311,0.0643,1047,0,4,4
5,14,5,8,204,ENHANCED,20,20,0,1528,76.40,303,0.0660,950,0,4,4
5,14,5,9,217,ENHANCED,20,20,0,1721,86.05,290,0.0690,1012,0,3,3
5,14,5,10,230,ENHANCED,20,20,0,1826,91.30,309,0.0647,1133,0,7,7
5,14,5,11,243,ENHANCED,20,20,0,2020,101.00,312,0.0641,1017,0,5,5
5,14,5,12,256,ENHANCED,20,20,0,2176,108.80,371,0.0539,1123,0,6,6
5,14,5,13,269,ENHANCED,20,20,0,2349,117.45,334,0.0599,1067,0,4,4
5,14,5,14,282,ENHANCED,20,20,0,1958,97.90,325,0.0615,1093,0,5,5
5,14,5,15,295,ENHANCED,20,20,0,2326,116.30,328,0.0610,1074,0,4,4
5,14,5,16,308,ENHANCED,20,20,0,2355,117.75,322,0.0621,1051,0,7,7
5,14,5,17,321,ENHANCED,20,20,0,2107,105.35,333,0.0601,1112,0,7,7
5,14,5,18,334,ENHANCED,20,20,0,1853,92.65,313,0.0639,1054,0,6,6
5,14,5,19,347,ENHANCED,20,20,0,2263,113.15,302,0.0662,1064,0,9,9
5,14,5,20,360,ENHANCED,21,21,0,2445,116.43,343,0.0612,1212,0,9,9
5,14,5,21,373,ENHANCED,20,20,0,2224,111.20,316,0.0633,999,1,9,9
5,14,5,22,386,ENHANCED,20,20,0,2052,102.60,309,0.0647,1146,0,9,9
5,14,5,23,399,ENHANCED,20,20,0,2138,106.90,333,0.0601,1028,0,7,7
5,14,5,24,412,ENHANCED,20,20,0,2101,105.05,295,0.0678,1040,0,6,6
5,14,5,25,425,ENHANCED,20,20,0,2177,108.85,317,0.0631,1056,0,6,6
5,14,5,26,438,ENHANCED,20,20,0,2141,107.05,340,0.0588,1120,0,5,5
5,14,5,27,451,ENHANCED,20,20,0,1750,87.50,326,0.0613,1075,0,3,3
5,14,5,28,464,ENHANCED,20,20,0,2084,104.20,292,0.0685,1035,0,8,8
5,14,5,29,477,ENHANCED,20,20,0,1755,87.75,324,0.0617,1065,0,7,7
5,14,5,30,490,ENHANCED,20,20,0,1556,77.80,317,0.0631,1034,0,7,7
7,12,7,1,113,ENHANCED,20,20,0,1349,67.45,295,0.0678,993,0,7,7
7,12,7,2,126,ENHANCED,20,20,0,1740,87.00,266,0.0752,957,0,5,5
7,12,7,3,139,ENHANCED,20,20,0,2077,103.85,327,0.0612,1086,0,8,8
7,12,7,4,152,ENHANCED,20,20,0,2232,111.60,342,0.0585,1108,0,8,8
7,12,7,5,165,ENHANCED,20,20,0,2360,118.00,328,0.0610,1120,0,8,8
7,12,7,6,178,ENHANCED,20,20,0,1853,92.65,316,0.0633,1097,0,7,7
7,12,7,7,191,ENHANCED,20,20,0,1719,85.95,317,0.0631,1084,0,6,6
7,12,7,8,204,ENHANCED,20,20,0,1568,78.40,298,0.0671,998,0,7,7
7,12,7,9,217,ENHANCED,20,20,0,1980,99.00,342,0.0585,1139,0,7,7
7,12,7,10,230,ENHANCED,20,20,0,1879,93.95,305,0.0656,1094,0,6,6
7,12,7,11,243,ENHANCED,20,20,0,2127,106.35,324,0.0617,1035,0,6,6
7,12,7,12,256,ENHANCED,20,20,0,1782,89.10,311,0.0643,1040,0,4,4
7,12,7,13,269,ENHANCED,20,20,0,2377,118.85,348,0.0575,1114,0,8,8
7,12,7,14,282,ENHANCED,20,20,0,2039,101.95,317,0.0631,1078,0,7,7
7,12,7,15,295,ENHANCED,20,20,0,2456,122.80,336,0.0595,1092,0,8,8
7,12,7,16,308,ENHANCED,20,20,0,2188,109.40,291,0.0687,1061,0,6,6
7,12,7,17,321,ENHANCED,20,20,0,1869,93.45,331,0.0604,1033,0,8,8
7,12,7,18,334,ENHANCED,20,20,0,1930,96.50,323,0.0619,1097,0,7,7
7,12,7,19,347,ENHANCED,20,20,0,2334,116.70,328,0.0610,1036,0,7,7
7,12,7,20,360,ENHANCED,21,21,0,1964,93.52,314,0.0669,1080,0,5,5
7,12,7,21,373,ENHANCED,20,20,0,2335,116.75,328,0.0610,1121,0,5,5
7,12,7,22,386,ENHANCED,20,20,0,2172,108.60,343,0.0583,1174,0,6,6
7,12,7,23,399,ENHANCED,20,20,0,2137,106.85,356,0.0562,1090,0,6,6
7,12,7,24,412,ENHANCED,20,20,0,2110,105.50,284,0.0704,1079,0,7,7
7,12,7,25,425,ENHANCED,20,20,0,2278,113.90,339,0.0590,1076,0,7,7
7,12,7,26,438,ENHANCED,20,20,0,2213,110.65,348,0.0575,1165,0,5,5
7,12,7,27,451,ENHANCED,20,20,0,1540,77.00,280,0.0714,971,0,4,4
7,12,7,28,464,ENHANCED,20,20,0,2224,111.20,303,0.0660,1094,0,6,6
7,12,7,29,477,ENHANCED,20,20,0,1862,93.10,327,0.0612,1027,0,8,8
7,12,7,30,490,ENHANCED,20,20,0,1774,88.70,362,0.0552,1111,0,4,4
5,16,5,1,113,ENHANCED,20,20,0,1458,72.90,301,0.0664,1047,0,7,7
5,16,5,2,126,ENHANCED,20,20,0,1808,90.40,296,0.0676,1062,0,8,8
5,16,5,3,139,ENHANCED,20,20,0,2061,103.05,316,0.0633,1140,0,9,9
5,16,5,4,152,ENHANCED,20,20,0,2182,109.10,330,0.0606,1098,0,8,8
5,16,5,5,165,ENHANCED,20,20,0,2704,135.20,391,0.0512,1223,0,9,9
5,16,5,6,178,ENHANCED,20,20,0,1649,82.45,276,0.0725,987,0,6,6
5,16,5,7,191,ENHANCED,20,20,0,1948,97.40,304,0.0658,1094,0,5,5
5,16,5,8,204,ENHANCED,20,20,0,1716,85.80,325,0.0615,1036,0,4,4
5,16,5,9,217,ENHANCED,20,20,0,1637,81.85,296,0.0676,1000,0,5,5
5,16,5,10,230,ENHANCED,20,20,0,1969,98.45,312,0.0641,1126,0,7,7
5,16,5,11,243,ENHANCED,20,20,0,2219,110.95,338,0.0592,1099,0,6,6
5,16,5,12,256,ENHANCED,20,20,0,1719,85.95,331,0.0604,1016,0,4,4
5,16,5,13,269,ENHANCED,20,20,0,2457,122.85,386,0.0518,1131,0,6,6
5,16,5,14,282,ENHANCED,20,20,0,2023,101.15,310,0.0645,1100,0,7,7
5,16,5,15,295,ENHANCED,20,20,0,2434,121.70,340,0.0588,1109,0,6,6
5,16,5,16,308,ENHANCED,20,20,0,2435,121.75,320,0.0625,1073,0,6,6
5,16,5,17,321,ENHANCED,20,20,0,1985,99.25,315,0.0635,1069,0,9,9
5,16,5,18,334,ENHANCED,20,20,0,2021,101.05,334,0.0599,1092,0,7,7
5,16,5,19,347,ENHANCED,20,20,0,2192,109.60,297,0.0673,1084,0,7,7
5,16,5,20,360,ENHANCED,21,21,0,2213,105.38,326,0.0644,1150,0,6,6
5,16,5,21,373,ENHANCED,20,20,0,2172,108.60,329,0.0608,1046,0,5,5
5,16,5,22,386,ENHANCED,20,20,0,1687,84.35,294,0.0680,1036,0,7,7
5,16,5,23,399,ENHANCED,20,20,0,1903,95.15,300,0.0667,1010,0,6,6
5,16,5,24,412,ENHANCED,20,20,0,2022,101.10,336,0.0595,1073,0,4,4
5,16,5,25,425,ENHANCED,20,20,0,2186,109.30,317,0.0631,1052,0,6,6
5,16,5,26,438,ENHANCED,20,20,0,2154,107.70,339,0.0590,1156,0,4,4
5,16,5,27,451,ENHANCED,20,20,0,1722,86.10,310,0.0645,1012,0,3,3
5,16,5,28,464,ENHANCED,20,20,0,2479,123.95,332,0.0602,1158,0,6,6
5,16,5,29,477,ENHANCED,20,20,0,1779,88.95,293,0.0683,1040,0,6,6
5,16,5,30,490,ENHANCED,20,20,0,1620,81.00,303,0.0660,1038,0,7,7
3,14,5,1,113,ENHANCED,20,20,0,1707,85.35,329,0.0608,1083,0,5,5
3,14,5,2,126,ENHANCED,20,20,0,1846,92.30,282,0.0709,1027,0,6,6
3,14,5,3,139,ENHANCED,20,20,0,1928,96.40,294,0.0680,1016,0,7,7
3,14,5,4,152,ENHANCED,20,20,0,1945,97.25,298,0.0671,997,0,7,7
3,14,5,5,165,ENHANCED,20,20,0,2340,117.00,316,0.0633,1108,0,4,4
3,14,5,6,178,ENHANCED,20,20,0,1612,80.60,276,0.0725,930,0,4,4
3,14,5,7,191,ENHANCED,20,20,0,1667,83.35,282,0.0709,1022,0,7,7
3,14,5,8,204,ENHANCED,20,20,0,1500,75.00,282,0.0709,949,0,4,4
3,14,5,9,217,ENHANCED,20,20,0,1706,85.30,284,0.0704,1004,0,4,4
3,14,5,10,230,ENHANCED,20,20,0,2274,113.70,361,0.0554,1266,0,11,11
