rc1,rc2,ic,avg_makespan,avg_delivery,avg_distance,min_makespan,max_makespan,std_makespan,delivered_pct,runs
5,12,4,312.4,100.7,1060,246,369,29.2,100.0,30
6,12,5,314.2,100.6,1070,279,365,21.9,100.0,30
7,14,4,315.4,99.2,1054,283,376,22.2,100.0,30
7,16,5,316.2,100.4,1072,259,376,27.1,100.0,30
6,13,5,316.3,99.1,1062,275,372,23.3,100.0,30
5,14,5,316.5,100.1,1061,270,371,18.5,100.0,30
7,14,7,318.0,100.9,1073,274,378,21.9,100.0,30
7,14,6,318.7,100.5,1081,279,369,22.3,100.0,30
5,12,5,319.0,99.0,1055,265,363,26.0,100.0,30
5,13,4,319.0,101.0,1062,277,413,27.6,100.0,30
6,12,6,319.6,100.1,1073,273,356,22.8,100.0,30
5,16,5,319.9,100.7,1079,276,391,24.6,100.0,30
4,13,5,320.0,101.7,1070,273,370,23.7,100.0,30
3,14,5,320.2,102.3,1072,268,376,30.5,100.0,30
7,12,7,321.0,100.6,1075,266,362,22.8,100.0,30
4,12,5,321.2,100.3,1062,271,394,27.1,100.0,30
3,12,10,321.3,106.1,1127,275,358,21.3,100.0,30
6,13,4,321.6,102.3,1077,260,380,24.6,100.0,30
5,13,5,321.7,101.2,1068,270,359,23.6,100.0,30
7,14,5,321.9,102.3,1084,255,375,30.3,100.0,30
7,12,5,322.4,100.4,1070,271,360,22.3,100.0,30
7,16,7,322.6,101.2,1094,270,384,30.6,100.0,30
5,12,6,323.4,103.1,1083,281,399,26.5,100.0,30
4,14,5,324.4,101.2,1072,277,379,26.7,100.0,30
6,14,5,325.4,101.6,1072,290,378,25.2,100.0,30
3,12,5,325.5,104.1,1098,275,391,27.7,100.0,30
3,16,5,326.5,104.5,1088,274,393,32.4,100.0,30
5,12,7,326.6,104.7,1091,267,394,28.2,100.0,30
5,14,7,327.8,105.6,1104,277,375,24.4,100.0,30
4,13,6,328.2,102.3,1099,289,401,26.0,100.0,30
