ic,rc1,rc2,run,seed,mode,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked
8,4,15,1,113,ENHANCED,20,20,0,1724,86.20,357,0.0560,1193,0,8,8
8,4,15,2,126,ENHANCED,20,20,0,1797,89.85,290,0.0690,1010,0,7,7
8,4,15,3,139,ENHANCED,20,20,0,2112,105.60,322,0.0621,1139,0,7,7
8,4,15,4,152,ENHANCED,20,20,0,2273,113.65,333,0.0601,1090,0,9,9
8,4,15,5,165,ENHANCED,20,20,0,2722,136.10,370,0.0541,1310,0,10,10
8,4,15,6,178,ENHANCED,20,20,0,1929,96.45,322,0.0621,1081,0,7,7
8,4,15,7,191,ENHANCED,20,20,0,1847,92.35,307,0.0651,1093,0,6,6
8,4,15,8,204,ENHANCED,20,20,0,1500,75.00,267,0.0749,971,0,5,5
8,4,15,9,217,ENHANCED,20,20,0,1942,97.10,300,0.0667,1093,0,7,7
8,4,15,10,230,ENHANCED,20,20,0,2168,108.40,360,0.0556,1265,0,9,9
8,4,15,11,243,ENHANCED,20,20,0,2538,126.90,367,0.0545,1184,0,7,7
8,4,15,12,256,ENHANCED,20,20,0,2378,118.90,384,0.0521,1290,0,9,9
8,4,15,13,269,ENHANCED,20,20,0,2422,121.10,357,0.0560,1132,0,8,8
8,4,15,14,282,ENHANCED,20,20,0,2466,123.30,338,0.0592,1219,0,12,12
8,4,15,15,295,ENHANCED,20,20,0,2103,105.15,329,0.0608,1088,0,6,6
8,4,15,16,308,ENHANCED,20,20,0,2830,141.50,341,0.0587,1192,0,3,3
8,4,15,17,321,ENHANCED,20,20,0,2453,122.65,359,0.0557,1227,0,6,6
8,4,15,18,334,ENHANCED,20,20,0,2024,101.20,355,0.0563,1143,0,6,6
8,4,15,19,347,ENHANCED,20,20,0,2551,127.55,346,0.0578,1112,0,5,5
8,4,15,20,360,ENHANCED,21,21,0,2085,99.29,318,0.0660,1114,0,5,5
8,4,15,21,373,ENHANCED,20,20,0,2329,116.45,322,0.0621,1115,0,8,8
8,4,15,22,386,ENHANCED,20,20,0,1763,88.15,279,0.0717,1025,0,9,9
8,4,15,23,399,ENHANCED,20,20,0,2058,102.90,328,0.0610,1077,0,6,6
8,4,15,24,412,ENHANCED,20,20,0,2056,102.80,293,0.0683,1111,0,8,8
8,4,15,25,425,ENHANCED,20,20,0,2749,137.45,356,0.0562,1269,0,11,11
8,4,15,26,438,ENHANCED,20,20,0,2252,112.60,351,0.0570,1170,0,4,4
8,4,15,27,451,ENHANCED,20,20,0,1619,80.95,321,0.0623,1044,0,3,3
8,4,15,28,464,ENHANCED,20,20,0,2406,120.30,310,0.0645,1140,0,10,10
8,4,15,29,477,ENHANCED,20,20,0,2027,101.35,349,0.0573,1142,0,6,6
8,4,15,30,490,ENHANCED,20,20,0,1834,91.70,350,0.0571,1124,0,5,5
7,3,16,1,113,ENHANCED,20,20,0,1503,75.15,322,0.0621,1065,0,7,7
7,3,16,2,126,ENHANCED,20,20,0,2025,101.25,337,0.0593,1127,0,9,9
7,3,16,3,139,ENHANCED,20,20,0,2130,106.50,313,0.0639,1106,0,8,8
7,3,16,4,152,ENHANCED,20,20,0,2256,112.80,322,0.0621,1069,0,6,6
7,3,16,5,165,ENHANCED,20,20,0,2807,140.35,376,0.0532,1307,0,11,11
7,3,16,6,178,ENHANCED,20,20,0,2102,105.10,316,0.0633,1083,1,5,5
7,3,16,7,191,ENHANCED,20,20,0,1809,90.45,294,0.0680,1066,0,5,5
7,3,16,8,204,ENHANCED,20,20,0,1973,98.65,317,0.0631,1084,0,6,6
7,3,16,9,217,ENHANCED,20,20,0,2088,104.40,334,0.0599,1206,0,8,8
7,3,16,10,230,ENHANCED,20,20,0,2175,108.75,349,0.0573,1204,0,7,7
7,3,16,11,243,ENHANCED,20,20,0,2171,108.55,307,0.0651,1079,0,6,6
7,3,16,12,256,ENHANCED,20,20,0,2100,105.00,380,0.0526,1169,0,7,7
7,3,16,13,269,ENHANCED,20,20,0,2609,130.45,376,0.0532,1188,0,8,8
7,3,16,14,282,ENHANCED,20,20,0,2151,107.55,319,0.0627,1117,0,7,7
7,3,16,15,295,ENHANCED,20,20,0,2367,118.35,333,0.0601,1116,0,6,6
7,3,16,16,308,ENHANCED,20,20,0,2322,116.10,300,0.0667,1087,0,6,6
7,3,16,17,321,ENHANCED,20,20,0,2083,104.15,345,0.0580,1075,0,5,5
7,3,16,18,334,ENHANCED,20,20,0,2291,114.55,364,0.0549,1185,0,6,6
7,3,16,19,347,ENHANCED,20,20,0,2797,139.85,389,0.0514,1195,0,8,8
7,3,16,20,360,ENHANCED,21,21,0,2349,111.86,328,0.0640,1173,0,5,5
7,3,16,21,373,ENHANCED,20,20,0,2504,125.20,350,0.0571,1232,0,9,9
7,3,16,22,386,ENHANCED,20,20,0,2154,107.70,329,0.0608,1198,0,9,9
7,3,16,23,399,ENHANCED,20,20,0,2231,111.55,355,0.0563,1110,0,6,6
7,3,16,24,412,ENHANCED,20,20,0,1859,92.95,262,0.0763,974,0,6,6
7,3,16,25,425,ENHANCED,20,20,0,2097,104.85,288,0.0694,1015,0,5,5
7,3,16,26,438,ENHANCED,20,20,0,2389,119.45,384,0.0521,1191,0,4,4
7,3,16,27,451,ENHANCED,20,20,0,2076,103.80,345,0.0580,1147,0,7,7
7,3,16,28,464,ENHANCED,20,20,0,2455,122.75,359,0.0557,1231,0,10,10
7,3,16,29,477,ENHANCED,20,20,0,1796,89.80,320,0.0625,1053,0,6,6
7,3,16,30,490,ENHANCED,20,20,0,1675,83.75,317,0.0631,1011,0,4,4
6,4,15,1,113,ENHANCED,20,20,0,1606,80.30,351,0.0570,1122,0,6,6
6,4,15,2,126,ENHANCED,20,20,0,1892,94.60,281,0.0712,1028,0,7,7
6,4,15,3,139,ENHANCED,20,20,0,1857,92.85,283,0.0707,1025,0,7,7
6,4,15,4,152,ENHANCED,20,20,0,2164,108.20,334,0.0599,1084,0,11,11
6,4,15,5,165,ENHANCED,20,20,0,2446,122.30,343,0.0583,1150,0,8,8
6,4,15,6,178,ENHANCED,20,20,0,2059,102.95,314,0.0637,1140,0,5,5
6,4,15,7,191,ENHANCED,20,20,0,1935,96.75,323,0.0619,1111,0,7,7
6,4,15,8,204,ENHANCED,20,20,0,1462,73.10,272,0.0735,979,0,5,5
6,4,15,9,217,ENHANCED,20,20,0,1754,87.70,309,0.0647,1013,0,4,4
6,4,15,10,230,ENHANCED,20,20,0,2095,104.75,346,0.0578,1182,0,9,9
6,4,15,11,243,ENHANCED,20,20,0,2409,120.45,317,0.0631,1134,0,7,7
6,4,15,12,256,ENHANCED,20,20,0,1986,99.30,334,0.0599,1086,0,8,8
6,4,15,13,269,ENHANCED,20,20,0,2666,133.30,377,0.0531,1135,0,7,7
6,4,15,14,282,ENHANCED,20,20,0,2086,104.30,312,0.0641,1114,0,8,8
6,4,15,15,295,ENHANCED,20,20,0,2511,125.55,350,0.0571,1210,0,10,10
6,4,15,16,308,ENHANCED,20,20,0,2299,114.95,288,0.0694,1063,0,6,6
6,4,15,17,321,ENHANCED,20,20,0,2658,132.90,399,0.0501,1166,1,6,6
6,4,15,18,334,ENHANCED,20,20,0,2082,104.10,337,0.0593,1132,0,7,7
6,4,15,19,347,ENHANCED,20,20,0,2464,123.20,318,0.0629,1022,0,6,6
6,4,15,20,360,ENHANCED,21,21,0,2034,96.86,303,0.0693,1073,0,6,6
6,4,15,21,373,ENHANCED,20,20,0,2744,137.20,381,0.0525,1119,1,11,11
6,4,15,22,386,ENHANCED,20,20,0,1826,91.30,309,0.0647,1058,0,9,9
6,4,15,23,399,ENHANCED,20,20,0,2249,112.45,352,0.0568,1107,0,6,6
6,4,15,24,412,ENHANCED,20,20,0,2030,101.50,291,0.0687,1013,0,6,6
6,4,15,25,425,ENHANCED,20,20,0,2441,122.05,316,0.0633,1147,0,11,11
6,4,15,26,438,ENHANCED,20,20,0,2109,105.45,335,0.0597,1129,0,6,6
6,4,15,27,451,ENHANCED,20,20,0,1668,83.40,317,0.0631,1059,0,5,5
6,4,15,28,464,ENHANCED,20,20,0,2217,110.85,296,0.0676,1041,0,8,8
