ic,rc1,rc2,avg_makespan,avg_delivery,avg_distance,min_makespan,max_makespan,std_makespan,delivered_pct,runs
6,4,15,323.6,105.0,1090,272,399,30.0,100.0,30
7,5,14,324.6,104.3,1094,276,374,24.9,100.0,30
6,3,16,326.8,105.6,1103,289,392,23.1,100.0,30
8,6,14,329.4,104.1,1108,272,376,22.5,100.0,30
8,4,15,332.7,108.1,1139,267,384,28.1,100.0,30
9,5,14,333.7,110.7,1160,281,379,24.5,100.0,30
7,3,16,334.3,108.7,1129,262,389,29.9,100.0,30
8,3,17,340.8,111.9,1147,286,387,28.1,100.0,30
12,4,16,342.3,110.9,1202,293,386,22.3,100.0,30
10,4,16,348.8,113.6,1198,281,395,27.9,100.0,30
