mode,total_pallets,delivered,pending,total_delivery_time,avg_delivery,makespan,throughput,total_distance,battery_deaths,intermediate_received,intermediate_picked,config
CSV,REFERENCE,20,20,0,408,20.40,138,0.1449,423,0,0,0,E1_amr12
CSV,ENHANCED,20,20,0,1446,72.30,262,0.0763,1494,4,27,27,E1_amr12
CSV,REFERENCE,20,20,0,415,20.75,142,0.1408,427,0,0,0,E1_amr3
CSV,ENHANCED,20,20,0,4139,206.95,505,0.0396,1179,0,10,10,E1_amr3
CSV,REFERENCE,20,20,0,415,20.75,139,0.1439,429,0,0,0,E1_amr5
CSV,ENHANCED,20,20,0,2293,114.65,313,0.0639,1140,0,6,6,E1_amr5
CSV,REFERENCE,20,20,0,405,20.25,138,0.1449,423,0,0,0,E1_amr8
CSV,ENHANCED,20,20,0,1962,98.10,301,0.0664,1322,2,18,18,E1_amr8
CSV,REFERENCE,20,20,0,420,21.00,140,0.1429,429,0,0,0,E2_geometric
CSV,ENHANCED,20,20,0,2266,113.30,310,0.0645,1140,0,8,8,E2_geometric
CSV,REFERENCE,20,20,0,410,20.50,138,0.1449,427,0,0,0,E2_poisson
CSV,ENHANCED,20,20,0,2371,118.55,346,0.0578,1174,1,9,9,E2_poisson
CSV,REFERENCE,21,20,1,438,21.90,999,0.0200,450,0,0,0,E2_uniform
CSV,ENHANCED,21,21,0,2610,124.29,379,0.0554,1171,1,10,10,E2_uniform
CSV,REFERENCE,20,20,0,428,21.40,138,0.1449,430,0,0,0,E3_bat100
CSV,ENHANCED,20,20,0,2292,114.60,309,0.0647,1123,0,9,9,E3_bat100
CSV,REFERENCE,20,20,0,405,20.25,140,0.1429,423,0,0,0,E3_bat200
CSV,ENHANCED,20,20,0,1698,84.90,268,0.0746,964,0,7,7,E3_bat200
CSV,REFERENCE,20,20,0,411,20.55,138,0.1449,427,0,0,0,E3_bat50
CSV,ENHANCED,20,20,0,2972,148.60,405,0.0494,1498,1,18,18,E3_bat50
CSV,REFERENCE,20,20,0,424,21.20,140,0.1429,430,0,0,0,E4_inter0
CSV,ENHANCED,20,20,0,2533,126.65,376,0.0532,1281,0,10,10,E4_inter0
CSV,REFERENCE,20,20,0,412,20.60,138,0.1449,425,0,0,0,E4_inter1
CSV,ENHANCED,20,20,0,2470,123.50,375,0.0533,1258,1,14,14,E4_inter1
CSV,REFERENCE,20,20,0,410,20.50,139,0.1439,425,0,0,0,E4_inter2
CSV,ENHANCED,20,20,0,2271,113.55,312,0.0641,1136,0,9,9,E4_inter2
CSV,REFERENCE,20,20,0,412,20.60,140,0.1429,425,0,0,0,E4_inter4
CSV,ENHANCED,20,20,0,2218,110.90,317,0.0631,1108,0,7,7,E4_inter4
CSV,REFERENCE,20,20,0,405,20.25,140,0.1429,421,0,0,0,E5_obs0
CSV,ENHANCED,20,20,0,2262,113.10,335,0.0597,1195,0,10,10,E5_obs0
CSV,REFERENCE,20,20,0,408,20.40,138,0.1449,424,0,0,0,E5_obs10
CSV,ENHANCED,20,20,0,2335,116.75,328,0.0610,1137,0,7,7,E5_obs10
CSV,REFERENCE,20,20,0,437,21.85,140,0.1429,447,0,0,0,E5_obs20
CSV,ENHANCED,20,20,0,2419,120.95,340,0.0588,1142,0,8,8,E5_obs20
CSV,REFERENCE,20,20,0,414,20.70,138,0.1449,427,0,0,0,E5_obs5
CSV,ENHANCED,20,20,0,2027,101.35,326,0.0613,1156,0,13,13,E5_obs5
CSV,REFERENCE,100,100,0,2148,21.48,644,0.1553,2180,0,0,0,E6_pal100
CSV,ENHANCED,100,100,0,44392,443.92,1507,0.0664,5748,0,39,39,E6_pal100
CSV,REFERENCE,20,20,0,403,20.15,138,0.1449,421,0,0,0,E6_pal20
CSV,ENHANCED,20,20,0,2069,103.45,312,0.0641,1047,0,6,6,E6_pal20
CSV,REFERENCE,50,50,0,1060,21.20,330,0.1515,1080,0,0,0,E6_pal50
CSV,ENHANCED,50,50,0,11676,233.52,785,0.0637,2900,0,22,22,E6_pal50
